Category: All categories

Week,oil: (United Kingdom)
2020-01-26,53
2020-02-02,58
2020-02-09,56
2020-02-16,54
2020-02-23,56
2020-03-01,58
2020-03-08,67
2020-03-15,58
2020-03-22,58
2020-03-29,67
2020-04-05,72
2020-04-12,73
2020-04-19,100
2020-04-26,82
2020-05-03,74
2020-05-10,70
2020-05-17,76
2020-05-24,71
2020-05-31,69
2020-06-07,72
2020-06-14,64
2020-06-21,62
2020-06-28,62
2020-07-05,59
2020-07-12,56
2020-07-19,62
2020-07-26,61
2020-08-02,60
2020-08-09,58
2020-08-16,57
2020-08-23,56
2020-08-30,59
2020-09-06,60
2020-09-13,56
2020-09-20,56
2020-09-27,59
2020-10-04,60
2020-10-11,55
2020-10-18,57
2020-10-25,57
2020-11-01,53
2020-11-08,59
2020-11-15,57
2020-11-22,57
2020-11-29,55
2020-12-06,58
2020-12-13,52
2020-12-20,51
2020-12-27,55
2021-01-03,60
2021-01-10,59
2021-01-17,62
2021-01-24,61
2021-01-31,63
2021-02-07,62
2021-02-14,65
2021-02-21,61
2021-02-28,60
2021-03-07,64
2021-03-14,60
2021-03-21,63
2021-03-28,60
2021-04-04,58
2021-04-11,57
2021-04-18,58
2021-04-25,58
2021-05-02,56
2021-05-09,53
2021-05-16,51
2021-05-23,54
2021-05-30,54
2021-06-06,53
2021-06-13,50
2021-06-20,49
2021-06-27,49
2021-07-04,50
2021-07-11,49
2021-07-18,48
2021-07-25,49
2021-08-01,50
2021-08-08,51
2021-08-15,55
2021-08-22,49
2021-08-29,51
2021-09-05,48
2021-09-12,46
2021-09-19,51
2021-09-26,52
2021-10-03,54
2021-10-10,53
2021-10-17,53
2021-10-24,50
2021-10-31,52
2021-11-07,51
2021-11-14,51
2021-11-21,53
2021-11-28,52
2021-12-05,49
2021-12-12,47
2021-12-19,48
2021-12-26,47
2022-01-02,56
2022-01-09,57
2022-01-16,55
2022-01-23,56
2022-01-30,57
2022-02-06,58
2022-02-13,56
2022-02-20,66
2022-02-27,70
2022-03-06,86
2022-03-13,75
2022-03-20,66
2022-03-27,66
2022-04-03,66
2022-04-10,64
2022-04-17,63
2022-04-24,66
2022-05-01,59
2022-05-08,58
2022-05-15,56
2022-05-22,59
2022-05-29,57
2022-06-05,58
2022-06-12,58
2022-06-19,58
2022-06-26,56
2022-07-03,59
2022-07-10,59
2022-07-17,57
2022-07-24,58
2022-07-31,61
2022-08-07,60
2022-08-14,57
2022-08-21,62
2022-08-28,62
2022-09-04,58
2022-09-11,59
2022-09-18,62
2022-09-25,63
2022-10-02,62
2022-10-09,62
2022-10-16,61
2022-10-23,61
2022-10-30,59
2022-11-06,64
2022-11-13,60
2022-11-20,60
2022-11-27,62
2022-12-04,65
2022-12-11,64
2022-12-18,58
2022-12-25,58
2023-01-01,61
2023-01-08,66
2023-01-15,63
2023-01-22,64
2023-01-29,62
2023-02-05,62
2023-02-12,61
2023-02-19,64
2023-02-26,64
2023-03-05,61
2023-03-12,62
2023-03-19,61
2023-03-26,66
2023-04-02,66
2023-04-09,63
2023-04-16,66
2023-04-23,66
2023-04-30,64
2023-05-07,63
2023-05-14,63
2023-05-21,68
2023-05-28,65
2023-06-04,62
2023-06-11,62
2023-06-18,59
2023-06-25,60
2023-07-02,63
2023-07-09,60
2023-07-16,63
2023-07-23,65
2023-07-30,65
2023-08-06,64
2023-08-13,60
2023-08-20,61
2023-08-27,60
2023-09-03,58
2023-09-10,60
2023-09-17,63
2023-09-24,62
2023-10-01,60
2023-10-08,64
2023-10-15,64
2023-10-22,63
2023-10-29,61
2023-11-05,64
2023-11-12,64
2023-11-19,65
2023-11-26,67
2023-12-03,65
2023-12-10,62
2023-12-17,64
2023-12-24,59
2023-12-31,61
2024-01-07,67
2024-01-14,68
2024-01-21,67
2024-01-28,66
2024-02-04,61
2024-02-11,65
2024-02-18,63
2024-02-25,65
2024-03-03,63
2024-03-10,63
2024-03-17,66
2024-03-24,65
2024-03-31,66
2024-04-07,66
2024-04-14,68
2024-04-21,65
2024-04-28,64
2024-05-05,62
2024-05-12,60
2024-05-19,63
2024-05-26,64
2024-06-02,63
2024-06-09,61
2024-06-16,65
2024-06-23,63
2024-06-30,60
2024-07-07,61
2024-07-14,62
2024-07-21,64
2024-07-28,62
2024-08-04,61
2024-08-11,63
2024-08-18,62
2024-08-25,65
2024-09-01,62
2024-09-08,63
2024-09-15,62
2024-09-22,65
2024-09-29,65
2024-10-06,66
2024-10-13,67
2024-10-20,61
2024-10-27,65
2024-11-03,66
2024-11-10,64
2024-11-17,67
2024-11-24,65
2024-12-01,66
2024-12-08,63
2024-12-15,65
2024-12-22,59
2024-12-29,62
2025-01-05,66
2025-01-12,68
2025-01-19,66
2025-01-26,67
